,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,0.016,0.85,0.805,0.0,0.104,-4.541,0.233,149.127,0.346
1,0.277,0.635,0.496,0.00634,0.081,-8.858,0.0338,141.863,0.733
2,0.571,0.717,0.599,8.99e-06,0.102,-6.156,0.115,159.78,0.385
3,0.00833,0.639,0.631,0.146,0.119,-10.686,0.033,121.968,0.197
4,0.339,0.422,0.518,0.0,0.101,-5.862,0.0646,77.378,0.29
5,0.0675,0.693,0.439,0.496,0.112,-11.646,0.0276,113.942,0.273
6,0.00475,0.643,0.592,1.54e-06,0.222,-6.684,0.277,123.942,0.405
7,0.0182,0.715,0.441,0.0,0.119,-8.266,0.0584,143.117,0.544
8,0.111,0.678,0.67,1.2e-06,0.127,-3.845,0.115,160.011,0.813
9,0.379,0.6,0.589,0.0,0.107,-6.851,0.278,159.847,0.271
10,0.32,0.754,0.583,0.00015,0.144,-7.34,0.0432,122.012,0.77
11,0.122,0.565,0.438,0.0469,0.108,-8.722,0.0311,133.949,0.211
12,0.0605,0.698,0.633,0.000194,0.0926,-4.946,0.0597,96.924,0.552
13,0.697,0.547,0.638,0.0,0.074,-2.99,0.124,176.277,0.876
14,0.0751,0.421,0.609,0.0,0.12,-6.467,0.0594,80.611,0.105
15,0.134,0.863,0.561,0.0,0.155,-9.207,0.128,138.037,0.369
16,0.52,0.584,0.306,0.0,0.12,-8.401,0.0271,70.022,0.096
17,0.448,0.55,0.824,0.000127,0.366,-5.988,0.0334,114.512,0.777
18,0.259,0.829,0.886,0.0,0.0559,-1.746,0.112,115.056,0.777
19,0.0798,0.91,0.657,0.0,0.307,-8.489,0.235,122.911,0.448
20,0.0055,0.639,0.756,0.0,0.13,-4.42,0.0608,128.937,0.532
21,0.137,0.787,0.705,1.06e-06,0.108,-7.582,0.0695,81.998,0.499
22,0.882,0.26,0.188,0.0,0.116,-13.117,0.0301,86.087,0.238
23,0.137,0.75,0.567,0.0,0.109,-6.4,0.48,151.895,0.398
24,0.136,0.761,0.783,1.31e-05,0.791,-5.1,0.237,84.469,0.691
25,0.826,0.646,0.204,0.0,0.312,-11.957,0.0565,140.281,0.688
26,0.629,0.746,0.775,0.000548,0.0622,-7.871,0.122,120.009,0.594
27,0.263,0.6,0.528,0.0,0.588,-6.554,0.0308,108.025,0.142
28,0.00476,0.776,0.678,0.0,0.363,-4.505,0.376,181.872,0.81
29,0.0109,0.804,0.683,0.0,0.0693,-7.344,0.055,140.035,0.229
30,0.286,0.504,0.76,0.0,0.151,-4.246,0.0426,183.933,0.64
31,0.0462,0.584,0.889,0.828,0.309,-5.941,0.0343,126.04,0.464
32,0.318,0.741,0.415,0.0,0.104,-6.775,0.049,87.09,0.404
33,0.88,0.425,0.242,0.0118,0.195,-15.424,0.0267,92.472,0.477
34,0.814,0.456,0.265,0.0,0.0679,-10.663,0.0328,129.947,0.112
35,0.146,0.779,0.706,0.0,0.346,-3.557,0.0528,135.008,0.0901
36,0.021,0.518,0.938,0.000305,0.288,-5.964,0.0416,139.138,0.71
37,0.376,0.484,0.508,0.000791,0.0961,-9.308,0.0364,151.867,0.554
38,0.411,0.847,0.386,0.00176,0.108,-10.668,0.0507,104.001,0.178
39,0.0253,0.611,0.972,0.000111,0.28,-4.845,0.0464,150.992,0.871
40,0.0506,0.463,0.857,0.0,0.184,-3.063,0.0632,111.647,0.856
